timestamp,DRIVE_COMMAND_angularAcceleration,DRIVE_COMMAND_angularVelocity,DRIVE_COMMAND_forwardAcceleration,DRIVE_COMMAND_forwardVelocity,DRIVE_COMMAND_lateralAcceleration,DRIVE_COMMAND_lateralVelocity,ESTIMATED_POSE_heading,ESTIMATED_POSE_x,ESTIMATED_POSE_y,MECANUM_COMMAND_leftBackPower,MECANUM_COMMAND_leftFrontPower,MECANUM_COMMAND_rightBackPower,MECANUM_COMMAND_rightFrontPower,MECANUM_COMMAND_voltage,PINPOINT_RAW_POSE_heading,PINPOINT_RAW_POSE_x,PINPOINT_RAW_POSE_y,TARGET_POSE_heading,TARGET_POSE_x,TARGET_POSE_y
348268499470,,,,,,,,,,,,,,,,,,3.141592653589793,-15.25,63.75
348289250389,,,,,,,3.141592327748434,-15.250001441775344,63.75000000000001,,,,,,,,,,,
348292160056,,,,,,,,,,,,,,,3.141592327748434,-15.250001441775344,63.75000000000001,,,
348297658265,0.0,1.9550481553665122e-06,-1.6532731788489269e-15,-1.1534202755569822e-05,27.0,-3.751665644813329e-12,,,,,,,,,,,,,,
348304188098,,,,,,,,,,-0.01585972066431717,-0.22282357958210217,0.015859501176990042,0.22282336009477502,13.075000000000001,,,,,,
348410638859,,,,,,,,,,,,,,,,,,-3.1415788903629083,-15.249886127335115,63.473874640524734
348418184860,,,,,,,-3.134610652923584,-15.231729342242863,63.72838778758612,,,,,,,,,,,
348419094568,,,,,,,,,,,,,,,-3.134610652923584,-15.231729342242863,63.72838778758612,,,
348420932652,0.0201133216771989,-0.04123221680433891,-0.16336027013672963,0.1547869871527194,26.999821136157763,5.879149313589217,,,,,,,,,,,,,,
348424656944,,,,,,,,,,0.3252708108738896,-0.314989045324975,-0.3230481155248586,0.317211740674006,12.917,,,,,,
348482126658,,,,,,,,,,,,,,,,,,-3.141437340554659,-15.248716075167355,63.12707843367175
348488042825,,,,,,,-3.1396164894104004,-15.24377777820497,63.68269312100148,,,,,,,,,,,
